login_id,user_id,timestamp,login_hour,is_new_device,device,device_type,browser,country,is_new_country,location_change,ip_risk_score,failed_login_attempts,time_since_last_login_hrs,login_frequency_per_day,historical_behavior_score,risk_score,risk_level,required_action,is_first_login
L000012,U00347,2026-01-01 07:57:52,19,0,Windows-Laptop,Windows,Firefox,US,0,0,0.208,0,0.0,1.71,0.5,0.0911,Low,Allow,1
L000013,U00454,2026-01-01 08:06:01,15,0,iPhone,iOS,Chrome,IN,0,0,0.138,0,0.0,2.15,0.5,0.0779,Low,Allow,1
L000014,U00081,2026-01-01 08:28:34,17,0,iPad,iOS,Chrome,IN,0,0,0.177,0,0.0,4.15,0.5,0.1219,Low,Allow,1
L000015,U00706,2026-01-01 08:43:32,18,0,iPhone,iOS,Chrome,IN,0,0,0.055,0,0.0,2.36,0.5,0.0984,Low,Allow,1
L000016,U00788,2026-01-01 08:47:48,23,0,MacBook,MacOS,Safari,IN,0,0,0.206,0,0.0,3.23,0.5,0.117,Low,Allow,1
L000017,U00633,2026-01-01 08:55:36,11,0,Linux-Laptop,Linux,Chrome,IN,0,0,0.073,0,0.0,3.55,0.5,0.0843,Low,Allow,1
L000018,U00489,2026-01-01 09:11:05,18,0,Android-Tablet,Android,Firefox,AE,0,0,0.262,0,0.0,7.25,0.5,0.1055,Low,Allow,1
L000019,U00285,2026-01-01 09:31:44,11,0,Android-Phone,Android,Chrome,IN,0,0,0.3,0,0.0,2.08,0.5,0.121,Low,Allow,1
L000020,U00547,2026-01-01 09:32:23,22,0,Android-Tablet,Android,Firefox,IN,0,0,0.106,0,0.0,3.38,0.5,0.0901,Low,Allow,1
L000021,U00210,2026-01-01 09:35:26,16,0,Android-Tablet,Android,Chrome,IN,0,0,0.304,0,0.0,2.12,0.5,0.1283,Low,Allow,1
L000022,U00529,2026-01-01 09:48:23,13,0,iPad,iOS,Safari,DE,0,0,0.114,2,0.0,3.41,0.5,0.1564,Low,Allow,1
L000023,U00348,2026-01-01 10:02:29,13,0,Android-Tablet,Android,Chrome,IN,0,0,0.106,1,0.0,1.3,0.5,0.1065,Low,Allow,1
L000024,U00049,2026-01-01 10:33:38,14,0,Android-Tablet,Android,Firefox,IN,0,0,0.036,3,0.0,1.19,0.5,0.1308,Low,Allow,1
L000025,U00288,2026-01-01 10:37:06,10,0,iPhone,iOS,Chrome,AE,0,0,0.199,0,0.0,0.97,0.5,0.1148,Low,Allow,1
L000026,U00780,2026-01-01 10:46:05,3,0,Android-Tablet,Android,Firefox,FR,0,0,0.056,0,0.0,8.32,0.5,0.1172,Low,Allow,1
L000027,U00004,2026-01-01 10:49:17,23,0,iPad,iOS,Chrome,CA,0,0,0.083,1,3.54,0.86,0.639,0.1351,Low,Allow,0
L000028,U00646,2026-01-01 11:02:23,17,0,iPhone,iOS,Safari,AE,0,0,0.03,3,0.0,7.48,0.5,0.1978,Low,Allow,1
L000029,U00227,2026-01-01 11:02:49,19,0,iPhone,iOS,Safari,IN,0,0,0.162,2,0.0,1.44,0.5,0.1336,Low,Allow,1
L000030,U00098,2026-01-01 11:04:23,22,0,Linux-Laptop,Linux,Firefox,IN,0,0,0.153,0,0.0,3.39,0.5,0.1275,Low,Allow,1
L000031,U00144,2026-01-01 11:05:15,14,0,Android-Tablet,Android,Firefox,CA,0,0,0.135,0,0.0,3.34,0.5,0.0933,Low,Allow,1
L000032,U00099,2026-01-01 11:21:39,16,0,Windows-Laptop,Windows,Chrome,IN,0,0,0.2,0,0.0,3.16,0.5,0.101,Low,Allow,1
L000033,U00074,2026-01-01 11:24:25,10,0,iPhone,iOS,Chrome,IN,0,0,0.12,0,0.0,1.3,0.5,0.0933,Low,Allow,1
L000034,U00121,2026-01-01 11:25:43,20,0,Android-Phone,Android,Firefox,CA,0,0,0.146,1,0.0,5.26,0.5,0.1178,Low,Allow,1
L000035,U00532,2026-01-01 11:28:03,18,0,MacBook,MacOS,Firefox,SG,0,0,0.029,0,0.0,2.3,0.5,0.066,Low,Allow,1
L000036,U00649,2026-01-01 11:28:49,11,0,Linux-Laptop,Linux,Firefox,GB,0,0,0.105,1,0.0,4.11,0.5,0.0901,Low,Allow,1
L000037,U00788,2026-01-01 11:38:18,17,0,MacBook,MacOS,Safari,IN,0,0,0.251,0,2.84,5.69,0.649,0.0909,Low,Allow,0
L000038,U00576,2026-01-01 11:39:57,8,0,MacBook,MacOS,Chrome,JP,0,0,0.075,1,0.0,6.57,0.5,0.1083,Low,Allow,1
L000039,U00492,2026-01-01 11:47:50,18,0,Windows-Laptop,Windows,Firefox,US,0,0,0.108,2,0.0,4.19,0.5,0.144,Low,Allow,1
L000040,U00001,2026-01-01 11:51:02,16,0,Android-Tablet,Android,Firefox,CA,0,0,0.024,2,0.0,1.59,0.5,0.1062,Low,Allow,1
L000041,U00800,2026-01-01 11:51:48,19,0,MacBook,MacOS,Firefox,CA,0,0,0.106,0,0.0,2.75,0.5,0.0798,Low,Allow,1
L000042,U00609,2026-01-01 11:53:03,9,0,Linux-Laptop,Linux,Firefox,IN,0,0,0.228,1,0.0,2.93,0.5,0.1192,Low,Allow,1
L000043,U00263,2026-01-01 12:00:46,21,0,Linux-Laptop,Linux,Firefox,AU,0,0,0.161,1,0.0,3.36,0.5,0.1115,Low,Allow,1
L000044,U00322,2026-01-01 12:01:52,6,0,MacBook,MacOS,Safari,GB,0,0,0.537,0,0.0,2.37,0.5,0.1721,Low,Allow,1
L000045,U00448,2026-01-01 12:05:26,12,0,Windows-Laptop,Windows,Edge,DE,0,0,0.063,0,0.0,2.25,0.5,0.0638,Low,Allow,1
L000046,U00281,2026-01-01 12:10:43,15,0,Android-Tablet,Android,Chrome,CA,0,0,0.416,1,0.0,2.3,0.5,0.1808,Low,Allow,1
L000047,U00789,2026-01-01 12:11:21,20,0,Android-Phone,Android,Firefox,IN,0,0,0.034,0,0.0,1.23,0.5,0.0531,Low,Allow,1
L000048,U00404,2026-01-01 12:27:48,5,0,Linux-Laptop,Linux,Firefox,IN,0,0,0.129,1,0.0,1.54,0.5,0.1123,Low,Allow,1
L000049,U00429,2026-01-01 12:28:01,10,0,MacBook,MacOS,Firefox,SG,0,0,0.104,0,0.0,1.27,0.5,0.075,Low,Allow,1
L000050,U00044,2026-01-01 12:46:27,13,0,iPad,iOS,Safari,IN,0,0,0.016,1,0.0,1.82,0.5,0.0753,Low,Allow,1
L000051,U00689,2026-01-01 12:46:46,15,0,Android-Tablet,Android,Chrome,IN,0,0,0.177,1,0.0,2.04,0.5,0.1211,Low,Allow,1
L000052,U00094,2026-01-01 12:49:57,9,0,Windows-Laptop,Windows,Edge,GB,0,0,0.226,0,0.0,2.95,0.5,0.1022,Low,Allow,1
L000053,U00127,2026-01-01 12:56:25,6,0,Android-Tablet,Android,Chrome,IN,0,0,0.16,1,0.0,1.54,0.5,0.1193,Low,Allow,1
L000054,U00030,2026-01-01 12:56:44,8,0,Android-Tablet,Android,Firefox,AE,0,0,0.119,0,0.0,1.65,0.5,0.0709,Low,Allow,1
L000055,U00585,2026-01-01 13:03:57,8,0,iPhone,iOS,Safari,IN,0,0,0.228,1,8.43,2.78,0.665,0.1298,Low,Allow,0
L000056,U00131,2026-01-01 13:04:53,12,0,Android-Phone,Android,Chrome,US,0,0,0.363,0,0.0,4.62,0.5,0.1202,Low,Allow,1
L000057,U00539,2026-01-01 13:06:38,11,0,iPad,iOS,Chrome,IN,0,0,0.193,1,0.0,2.03,0.5,0.1105,Low,Allow,1
L000058,U00769,2026-01-01 13:07:10,4,0,iPad,iOS,Safari,IN,0,0,0.264,0,0.0,2.03,0.5,0.1246,Low,Allow,1
L000059,U00692,2026-01-01 13:09:59,13,0,Android-Tablet,Android,Chrome,AE,0,0,0.034,0,0.0,1.71,0.5,0.093,Low,Allow,1
L000060,U00305,2026-01-01 13:18:19,18,0,iPad,iOS,Safari,IN,0,0,0.485,7,0.0,5.57,0.5,0.3091,Medium,OTP,1
L000061,U00225,2026-01-01 13:19:36,13,0,iPhone,iOS,Chrome,IN,0,0,0.259,1,0.0,2.47,0.5,0.1547,Low,Allow,1
L000062,U00117,2026-01-01 13:23:22,19,0,MacBook,MacOS,Safari,IN,0,0,0.311,2,0.0,1.87,0.5,0.1743,Low,Allow,1
L000063,U00550,2026-01-01 13:30:55,12,0,Android-Tablet,Android,Chrome,DE,0,0,0.136,0,0.0,7.82,0.5,0.1002,Low,Allow,1
L000064,U00647,2026-01-01 13:34:28,10,0,Linux-Laptop,Linux,Chrome,IN,0,0,0.016,0,0.0,1.93,0.5,0.0516,Low,Allow,1
L000065,U00160,2026-01-01 13:39:45,12,0,Windows-Laptop,Windows,Chrome,AE,0,0,0.032,0,0.0,1.5,0.5,0.0608,Low,Allow,1
L000066,U00119,2026-01-01 13:43:41,14,0,iPad,iOS,Safari,IN,0,0,0.048,0,0.0,0.92,0.5,0.0653,Low,Allow,1
L000067,U00093,2026-01-01 13:52:44,5,0,Windows-Laptop,Windows,Chrome,US,0,0,0.722,1,0.0,10.97,0.5,0.3525,Medium,OTP,1
L000068,U00101,2026-01-01 13:59:14,13,0,MacBook,MacOS,Safari,IN,0,0,0.109,1,0.0,1.82,0.5,0.0904,Low,Allow,1
L000069,U00191,2026-01-01 13:59:20,7,0,Android-Tablet,Android,Firefox,IN,0,0,0.148,1,0.0,0.92,0.5,0.1269,Low,Allow,1
L000070,U00259,2026-01-01 13:59:56,12,0,Windows-Laptop,Windows,Edge,CA,0,0,0.061,0,0.0,2.28,0.5,0.0743,Low,Allow,1
L000071,U00796,2026-01-01 14:17:56,14,0,Windows-Laptop,Windows,Chrome,IN,0,0,0.18,0,0.0,7.65,0.5,0.1064,Low,Allow,1
L000072,U00340,2026-01-01 14:18:53,12,0,Android-Tablet,Android,Firefox,IN,0,0,0.282,1,0.0,3.54,0.5,0.1395,Low,Allow,1
L000073,U00228,2026-01-01 14:21:47,13,0,Android-Phone,Android,Firefox,IN,0,0,0.232,0,0.0,4.13,0.5,0.1096,Low,Allow,1
L000074,U00521,2026-01-01 14:25:03,15,0,iPhone,iOS,Safari,IN,0,0,0.064,0,0.0,3.3,0.5,0.067,Low,Allow,1
L000075,U00676,2026-01-01 14:25:37,11,0,MacBook,MacOS,Chrome,AE,0,0,0.129,1,0.0,1.85,0.5,0.104,Low,Allow,1
L000076,U00779,2026-01-01 14:25:38,11,0,Android-Tablet,Android,Firefox,AU,0,0,0.201,0,0.0,3.04,0.5,0.1124,Low,Allow,1
L000077,U00248,2026-01-01 14:38:11,6,0,Linux-Laptop,Linux,Chrome,IN,0,0,0.191,0,0.0,0.92,0.5,0.1168,Low,Allow,1
L000078,U00612,2026-01-01 14:38:55,18,0,iPhone,iOS,Chrome,CA,0,0,0.238,0,0.0,4.67,0.5,0.1198,Low,Allow,1
L000079,U00765,2026-01-01 14:43:39,8,0,MacBook,MacOS,Firefox,IN,0,0,0.072,1,0.0,1.61,0.5,0.0967,Low,Allow,1
L000080,U00369,2026-01-01 14:50:06,20,0,Linux-Laptop,Linux,Chrome,GB,0,0,0.086,2,0.0,2.16,0.5,0.1094,Low,Allow,1
L000081,U00557,2026-01-01 14:53:18,15,0,Android-Tablet,Android,Chrome,IN,0,0,0.201,0,0.0,1.28,0.5,0.0914,Low,Allow,1
L000082,U00386,2026-01-01 14:53:23,16,0,Windows-Laptop,Windows,Chrome,IN,0,0,0.099,0,0.0,0.8,0.5,0.0815,Low,Allow,1
L000083,U00112,2026-01-01 14:58:14,12,0,Android-Phone,Android,Firefox,IN,0,0,0.038,2,0.0,1.19,0.5,0.1023,Low,Allow,1
L000084,U00712,2026-01-01 14:59:08,20,0,MacBook,MacOS,Chrome,IN,0,0,0.078,3,9.5,3.36,0.741,0.1168,Low,Allow,0
L000085,U00641,2026-01-01 15:01:55,10,0,Windows-Laptop,Windows,Firefox,AE,0,0,0.116,0,0.0,2.1,0.5,0.0731,Low,Allow,1
L000086,U00249,2026-01-01 15:04:06,22,0,Windows-Laptop,Windows,Edge,AE,0,0,0.089,0,0.0,4.74,0.5,0.11,Low,Allow,1
L000087,U00589,2026-01-01 15:09:53,13,0,MacBook,MacOS,Chrome,IN,0,0,0.324,0,0.0,1.62,0.5,0.1191,Low,Allow,1
L000088,U00501,2026-01-01 15:11:16,10,0,MacBook,MacOS,Firefox,IN,0,0,0.084,1,0.0,2.0,0.5,0.0944,Low,Allow,1
L000089,U00159,2026-01-01 15:17:02,20,0,Windows-Laptop,Windows,Firefox,IN,0,0,0.095,1,0.0,3.94,0.5,0.0938,Low,Allow,1
L000090,U00098,2026-01-01 15:20:09,10,1,MacBook,MacOS,Firefox,DE,1,1,0.199,1,4.26,7.23,0.621,0.625,High,MFA,0
L000091,U00091,2026-01-01 15:20:58,16,0,Linux-Laptop,Linux,Firefox,DE,0,0,0.103,1,0.0,2.7,0.5,0.0926,Low,Allow,1
L000092,U00583,2026-01-01 15:22:26,11,0,Windows-Laptop,Windows,Firefox,IN,0,0,0.087,1,0.0,1.36,0.5,0.1125,Low,Allow,1
L000093,U00543,2026-01-01 15:30:31,7,0,MacBook,MacOS,Safari,AE,0,0,0.045,0,0.0,1.08,0.5,0.0913,Low,Allow,1
L000094,U00499,2026-01-01 15:33:37,14,0,MacBook,MacOS,Firefox,IN,0,0,0.161,2,0.0,4.09,0.5,0.1457,Low,Allow,1
L000095,U00170,2026-01-01 15:42:21,9,0,Linux-Laptop,Linux,Firefox,AU,0,0,0.057,1,0.0,2.05,0.5,0.0964,Low,Allow,1
L000096,U00678,2026-01-01 15:42:23,9,1,Linux-Laptop,Linux,Firefox,IN,1,1,0.116,2,8.09,0.92,0.646,0.5477,High,MFA,0
L000097,U00265,2026-01-01 15:44:54,2,0,iPhone,iOS,Chrome,IN,0,0,0.053,0,0.0,1.37,0.5,0.1054,Low,Allow,1
L000098,U00347,2026-01-01 15:45:32,18,1,MacBook,MacOS,Firefox,IN,1,1,0.836,1,7.79,1.31,0.678,0.8053,Critical,Block/ManualReview,0
L000099,U00127,2026-01-01 15:46:19,2,0,Android-Tablet,Android,Chrome,IN,0,0,0.047,0,2.83,1.54,0.649,0.0837,Low,Allow,0
L000100,U00633,2026-01-01 15:46:33,13,1,MacBook,MacOS,Chrome,IN,0,0,0.086,1,6.85,1.86,0.722,0.205,Low,Allow,0
L000101,U00741,2026-01-01 15:48:27,9,0,iPad,iOS,Chrome,IN,0,0,0.114,1,0.0,2.12,0.5,0.1046,Low,Allow,1
L000102,U00791,2026-01-01 15:48:29,19,0,iPad,iOS,Safari,US,0,0,0.141,1,0.0,1.51,0.5,0.1051,Low,Allow,1
L000103,U00162,2026-01-01 15:52:42,19,0,MacBook,MacOS,Chrome,IN,0,0,0.256,0,0.0,4.53,0.5,0.1058,Low,Allow,1
L000104,U00184,2026-01-01 15:57:13,20,0,Linux-Laptop,Linux,Chrome,US,0,0,0.214,0,0.0,1.71,0.5,0.0889,Low,Allow,1
L000105,U00439,2026-01-01 15:59:02,8,0,iPad,iOS,Safari,IN,0,0,0.039,0,0.0,2.96,0.5,0.0776,Low,Allow,1
L000106,U00691,2026-01-01 16:11:00,10,0,Android-Tablet,Android,Chrome,IN,0,0,0.226,0,0.0,2.12,0.5,0.0941,Low,Allow,1
L000107,U00254,2026-01-01 16:12:50,15,0,iPhone,iOS,Chrome,NL,0,0,0.068,1,0.0,1.84,0.5,0.09,Low,Allow,1
L000108,U00399,2026-01-01 16:12:57,13,0,Android-Phone,Android,Chrome,US,0,0,0.097,1,0.0,1.53,0.5,0.1257,Low,Allow,1
L000109,U00390,2026-01-01 16:13:34,12,0,MacBook,MacOS,Chrome,IN,0,0,0.266,0,0.0,4.51,0.5,0.1509,Low,Allow,1
L000110,U00331,2026-01-01 16:23:05,7,0,iPhone,iOS,Chrome,IN,0,0,0.753,4,0.0,0.41,0.5,0.2938,Medium,OTP,1
L000111,U00468,2026-01-01 16:23:16,11,0,Linux-Laptop,Linux,Chrome,IN,0,0,0.069,0,0.0,4.16,0.5,0.0722,Low,Allow,1
L000112,U00726,2026-01-01 16:26:56,15,0,Android-Tablet,Android,Chrome,IN,0,0,0.185,1,0.0,1.47,0.5,0.1396,Low,Allow,1
L000113,U00637,2026-01-01 16:27:44,11,0,iPad,iOS,Safari,CA,0,0,0.044,1,0.0,7.55,0.5,0.1094,Low,Allow,1
L000114,U00095,2026-01-01 16:27:53,20,0,iPhone,iOS,Chrome,AE,0,0,0.075,2,0.0,7.25,0.5,0.1139,Low,Allow,1
L000115,U00800,2026-01-01 16:31:37,21,0,MacBook,MacOS,Chrome,CA,0,0,0.045,2,4.66,1.4,0.681,0.0761,Low,Allow,0
L000116,U00116,2026-01-01 16:35:32,6,0,Windows-Laptop,Windows,Chrome,IN,0,0,0.096,1,0.0,3.85,0.5,0.0887,Low,Allow,1
L000117,U00133,2026-01-01 16:35:54,12,0,Windows-Laptop,Windows,Firefox,IN,0,0,0.035,0,0.0,4.44,0.5,0.0612,Low,Allow,1
L000118,U00113,2026-01-01 16:39:24,14,0,iPhone,iOS,Safari,GB,0,0,0.045,0,0.0,2.05,0.5,0.0664,Low,Allow,1
L000119,U00016,2026-01-01 16:43:24,20,0,Windows-Laptop,Windows,Chrome,SG,0,0,0.139,0,0.0,1.77,0.5,0.0742,Low,Allow,1
L000120,U00422,2026-01-01 16:46:37,16,0,iPhone,iOS,Safari,AE,0,0,0.052,0,0.0,1.08,0.5,0.0744,Low,Allow,1
L000121,U00716,2026-01-01 16:52:46,9,0,Android-Tablet,Android,Chrome,IN,0,0,0.27,1,0.0,2.75,0.5,0.1291,Low,Allow,1
L000122,U00360,2026-01-01 16:53:52,10,0,Linux-Laptop,Linux,Firefox,GB,0,0,0.021,2,0.0,4.14,0.5,0.1053,Low,Allow,1
L000123,U00141,2026-01-01 16:58:23,11,0,Android-Tablet,Android,Chrome,IN,0,0,0.213,1,0.0,1.91,0.5,0.1539,Low,Allow,1
L000124,U00038,2026-01-01 16:58:35,4,0,Windows-Laptop,Windows,Firefox,IN,0,0,0.09,0,0.0,3.03,0.5,0.1195,Low,Allow,1
L000125,U00480,2026-01-01 16:59:30,10,0,Windows-Laptop,Windows,Chrome,IN,0,0,0.206,1,0.0,6.31,0.5,0.13,Low,Allow,1
L000126,U00440,2026-01-01 17:07:02,10,0,Windows-Laptop,Windows,Chrome,GB,0,0,0.262,1,0.0,3.04,0.5,0.1313,Low,Allow,1
L000127,U00588,2026-01-01 17:08:53,19,0,iPhone,iOS,Safari,GB,0,0,0.029,3,0.0,4.12,0.5,0.1358,Low,Allow,1
L000128,U00539,2026-01-01 17:09:56,11,1,Windows-Laptop,Windows,Chrome,IN,0,0,0.089,0,4.06,2.9,0.624,0.1982,Low,Allow,0
L000129,U00094,2026-01-01 17:12:13,10,0,Windows-Laptop,Windows,Edge,GB,0,0,0.238,3,4.37,3.77,0.666,0.1944,Low,Allow,0
L000130,U00290,2026-01-01 17:13:49,6,0,Android-Tablet,Android,Firefox,IN,0,0,0.068,0,0.0,1.62,0.5,0.0831,Low,Allow,1
L000131,U00037,2026-01-01 17:14:08,19,0,Linux-Laptop,Linux,Firefox,IN,0,0,0.165,0,0.0,1.59,0.5,0.0808,Low,Allow,1
L000132,U00753,2026-01-01 17:15:33,4,0,iPad,iOS,Safari,IN,0,0,0.072,0,0.0,3.07,0.5,0.1111,Low,Allow,1
L000133,U00292,2026-01-01 17:28:42,14,0,MacBook,MacOS,Firefox,DE,0,0,0.083,1,14.8,1.59,0.677,0.0847,Low,Allow,0
L000134,U00022,2026-01-01 17:32:46,17,0,Linux-Laptop,Linux,Firefox,IN,0,0,0.124,0,0.0,3.78,0.5,0.1112,Low,Allow,1
L000135,U00690,2026-01-01 17:36:13,10,0,iPhone,iOS,Chrome,DE,0,0,0.133,1,0.0,2.25,0.5,0.1161,Low,Allow,1
L000136,U00065,2026-01-01 17:37:29,22,0,iPad,iOS,Safari,IN,0,0,0.337,0,0.0,2.05,0.5,0.1302,Low,Allow,1
L000137,U00395,2026-01-01 17:39:29,5,0,Linux-Laptop,Linux,Firefox,CA,0,0,0.106,0,0.0,4.31,0.5,0.0941,Low,Allow,1
L000138,U00647,2026-01-01 17:39:43,10,1,iPad,iOS,Chrome,IN,0,0,0.399,1,4.09,1.07,0.725,0.2416,Low,Allow,0
L000139,U00651,2026-01-01 17:46:49,13,0,Linux-Laptop,Linux,Firefox,IN,0,0,0.179,0,0.0,0.87,0.5,0.1041,Low,Allow,1
L000140,U00060,2026-01-01 17:47:16,6,0,Windows-Laptop,Windows,Firefox,IN,0,0,0.434,0,0.0,14.38,0.5,0.2258,Low,Allow,1
L000141,U00719,2026-01-01 17:47:23,12,0,Android-Tablet,Android,Chrome,US,0,0,0.254,0,0.0,3.02,0.5,0.1064,Low,Allow,1
L000142,U00409,2026-01-01 17:50:54,15,0,Windows-Laptop,Windows,Chrome,US,0,0,0.383,0,0.0,8.37,0.5,0.1643,Low,Allow,1
L000143,U00636,2026-01-01 17:54:34,7,0,iPhone,iOS,Safari,DE,0,0,0.128,1,0.0,1.11,0.5,0.1079,Low,Allow,1
L000144,U00340,2026-01-01 17:57:03,15,1,Android-Phone,Android,Firefox,IN,0,0,0.055,1,3.64,2.39,0.661,0.1925,Low,Allow,0
L000145,U00777,2026-01-01 18:01:46,11,0,Android-Tablet,Android,Chrome,AE,0,0,0.015,2,0.0,1.03,0.5,0.1133,Low,Allow,1
L000146,U00589,2026-01-01 18:05:58,13,0,MacBook,MacOS,Chrome,IN,0,0,0.133,0,2.93,5.1,0.657,0.0952,Low,Allow,0
L000147,U00566,2026-01-01 18:10:01,10,0,Android-Tablet,Android,Chrome,GB,0,0,0.086,0,0.0,3.54,0.5,0.0675,Low,Allow,1
L000148,U00070,2026-01-01 18:10:26,18,0,Android-Tablet,Android,Chrome,IN,0,0,0.229,2,0.0,4.64,0.5,0.1549,Low,Allow,1
L000149,U00057,2026-01-01 18:10:49,8,0,Linux-Laptop,Linux,Chrome,AU,0,0,0.056,2,0.0,9.52,0.5,0.1978,Low,Allow,1
L000150,U00407,2026-01-01 18:14:05,3,0,Android-Phone,Android,Firefox,SG,0,0,0.098,0,0.0,1.22,0.5,0.1152,Low,Allow,1
L000151,U00684,2026-01-01 18:20:35,10,0,Windows-Laptop,Windows,Chrome,IN,0,0,0.193,0,0.0,2.24,0.5,0.1003,Low,Allow,1
L000152,U00709,2026-01-01 18:22:54,15,0,Windows-Laptop,Windows,Chrome,IN,0,0,0.027,0,0.0,0.32,0.5,0.0504,Low,Allow,1
L000153,U00275,2026-01-01 18:23:55,19,0,Linux-Laptop,Linux,Firefox,IN,0,0,0.031,2,0.0,0.49,0.5,0.1055,Low,Allow,1
L000154,U00594,2026-01-01 18:26:03,0,0,Android-Tablet,Android,Chrome,CA,0,0,0.036,4,0.0,2.46,0.5,0.2096,Low,Allow,1
L000155,U00455,2026-01-01 18:30:57,11,0,MacBook,MacOS,Safari,AE,0,0,0.101,0,0.0,1.31,0.5,0.067,Low,Allow,1
L000156,U00288,2026-01-01 18:31:44,15,0,iPhone,iOS,Chrome,AE,0,0,0.068,0,7.91,1.17,0.679,0.0543,Low,Allow,0
L000157,U00333,2026-01-01 18:35:04,20,0,iPad,iOS,Safari,IN,0,0,0.245,0,0.0,1.78,0.5,0.0993,Low,Allow,1
L000158,U00240,2026-01-01 18:45:49,15,0,iPad,iOS,Safari,AE,0,0,0.285,1,0.0,1.9,0.5,0.1324,Low,Allow,1
L000159,U00278,2026-01-01 18:47:59,11,0,iPad,iOS,Chrome,IN,0,0,0.212,1,0.0,2.22,0.5,0.1378,Low,Allow,1
L000160,U00339,2026-01-01 18:56:17,16,0,iPhone,iOS,Chrome,US,0,0,0.246,0,0.0,2.37,0.5,0.1181,Low,Allow,1
L000161,U00286,2026-01-01 19:04:18,12,0,Android-Phone,Android,Firefox,SG,0,0,0.022,1,0.0,1.44,0.5,0.0892,Low,Allow,1
L000162,U00358,2026-01-01 19:04:24,14,0,Android-Tablet,Android,Chrome,BR,0,0,0.134,3,0.0,2.24,0.5,0.1474,Low,Allow,1
L000163,U00329,2026-01-01 19:06:09,17,0,iPad,iOS,Safari,AU,0,0,0.049,0,0.0,5.89,0.5,0.0695,Low,Allow,1
L000164,U00257,2026-01-01 19:06:10,16,0,Linux-Laptop,Linux,Chrome,IN,0,0,0.194,0,0.0,4.91,0.5,0.1075,Low,Allow,1
L000165,U00763,2026-01-01 19:07:02,17,0,Linux-Laptop,Linux,Chrome,US,0,0,0.034,1,0.0,2.58,0.5,0.0971,Low,Allow,1
L000166,U00314,2026-01-01 19:11:21,11,0,iPhone,iOS,Safari,IN,0,0,0.063,0,0.0,1.47,0.5,0.0865,Low,Allow,1
L000167,U00797,2026-01-01 19:14:33,14,0,Windows-Laptop,Windows,Firefox,SG,0,0,0.167,0,0.0,1.27,0.5,0.086,Low,Allow,1
L000168,U00144,2026-01-01 19:16:48,6,0,Android-Tablet,Android,Firefox,SG,1,1,0.092,0,8.19,4.54,0.677,0.278,Medium,OTP,0
L000169,U00712,2026-01-01 19:17:09,17,0,MacBook,MacOS,Chrome,FR,1,1,0.083,1,4.3,2.89,0.785,0.2337,Low,Allow,0
L000170,U00351,2026-01-01 19:24:07,23,0,MacBook,MacOS,Chrome,AE,0,0,0.124,0,0.0,3.08,0.5,0.1171,Low,Allow,1
L000171,U00608,2026-01-01 19:25:39,16,0,Windows-Laptop,Windows,Firefox,AE,0,0,0.065,5,0.0,4.84,0.5,0.1979,Low,Allow,1
L000172,U00376,2026-01-01 19:27:29,14,0,Android-Tablet,Android,Firefox,IN,0,0,0.054,0,0.0,2.49,0.5,0.063,Low,Allow,1
L000173,U00364,2026-01-01 19:36:44,11,0,iPad,iOS,Safari,IN,0,0,0.258,2,0.0,2.52,0.5,0.1539,Low,Allow,1
